Sample Name	Name	Start Mass - 1	End Mass - 1	Expected RT	RSD%	20191017_CS00000004-1	20191017_CS00000004-2	20191017_CS00000004-3	20191017_CS00000004-4	20191017_CS00000004-5	20191017_CS00000004-6	20191017_CS00000004-7	20191017_S00041674	20191017_S00041675	20191017_S00041676	20191017_S00041677	20191017_S00041678	20191017_S00041679	20191017_S00041680	20191017_S00041681	20191017_S00041682	20191017_S00041683	20191017_S00041684	20191017_S00041685	20191017_S00041686	20191017_S00041687	20191017_S00041688	20191017_S00041689	20191017_S00041690	20191017_S00041691	20191017_S00041692	20191017_S00041693	20191017_S00041694	20191017_S00041695	20191017_S00041696	20191017_S00041697	20191017_S00041698	20191017_S00041699	20191017_S00041700	20191017_S00041701	20191017_S00041702	20191017_S00041703	20191017_S00041704	20191017_S00041705	20191017_S00041706	20191017_S00041707	20191017_S00041708	20191017_S00041709	20191017_S00041710	20191017_S00041711	20191017_S00041712	20191017_S00041713	20191017_S00041714	20191017_S00041715	20191017_S00041716	20191017_S00041717	20191017_S00041718	20191017_S00041719	20191017_S00041720	20191017_S00041721	20191017_S00041722	20191017_S00041723	20191017_S00041724	20191017_S00041725	20191017_S00041726	20191017_S00041727	20191017_S00041728	20191017_S00041729	20191017_S00041730	20191017_S00041731	20191017_S00041732	20191017_S00041733	20191017_S00041734	20191017_S00041735	20191017_S00041736	20191017_S00041737	20191017_CS00000001-1	20191017_CS00000001-2	20191017_CS00000001-3	20191017_CS00000001-5	20191017_CS00000001-6	20191017_CS00000001-7	20191017_CS00000001-8	20191017_CS00000001-4
PC 36:4e; [M+Hac-H]-@6.68	PC 36:4e; [M+Hac-H]-@6.68	826.5937	826.5987	6.68	7.282018198	170242.7194	172574.9267	153081.8827	163012.8855	171376.7198	159463.1017	159246.5483	285668.1899	175473.9537	177902.2524	112441.6901	252752.3911	157939.1117	164509.3334	340168.6669	175178.5917	218119.4737	228681.5779	247019.4868	244859.5895	264938.2944	142989.4703	295352.204	223839.6514	117385.285	258427.1291	185575.3412	146904.7308	160913.1934	184215.1311	313053.8273	115915.16	166519.7662	164071.2421	210600.046	135943.4653	161108.4585	232492.7249	147622.7546	136833.1528	306115.4361	167760.107	188195.1569	182567.6803	142442.3786	220371.7038	149516.7103	262967.2569	270430.6444	162257.0114	210550.7977	193235.4033	157921.8985	160527.2707	182272.0758	123498.8071	199353.9538	235328.5808	243324.7066	150886.7134	155743.7957	134296.9388	181846.4557	140104.2836	209745.2226	124393.5348	164774.4837	144353.8018	200067.721	342524.3757	205015.9841	171924.2967	156576.2345	163454.4885	148522.1031	163470.1585	181795.5104	155426.0093	180648.2475
PC 36:5; [M+Hac-H]-@5.69	PC 36:5; [M+Hac-H]-@5.69	838.5573	838.5623	5.69	13.02128517	277008.582	236466.8761	272310.467	241650.9866	255653.5285	235612.9876	197995.0896	208085.3531	196412.8532	206460.9352	482875.7062	159810.9775	261123.0451	213114.3039	322803.3069	340036.833	256942.7739	197710.8801	225861.0727	299428.6401	353452.7571	127226.6841	256919.843	584551.7739	78036.27274	320946.3718	161808.0634	114660.7663	241651.4247	220534.3632	368897.3993	171410.272	206219.7464	200589.8534	160648.7729	82872.5472	124773.4194	218693.8118	222881.8185	215007.8491	265369.9029	168785.1146	249853.092	192988.0969	162972.1136	451074.2904	226359.4269	154507.6216	511231.7684	207122.1555	420417.821	203215.9354	214265.4534	601014.4884	215706.3213	171577.2046	266904.4619	252116.3985	382023.2454	178420.9695	117013.4634	178349.2496	222396.4949	153496.6844	285008.7282	145523.2848	311167.6193	385133.7666	198501.4959	358430.7175	266783.1649	248544.5639	236445.825	207792.1969	164738.9047	242861.3131	216519.1852	206178.6712	248730.0825
PC 36:5e; [M+Hac-H]-@6.58	PC 36:5e; [M+Hac-H]-@6.58	824.5781	824.5831	6.58	15.59852249	108957.5686	114913.6406	117186.6809	121667.5214	107648.8943	123231.3391	100738.3877	174380.5825	98874.46454	112780.3099	71619.28713	159202.9352	127790.97	108867.8831	266997.6648	98883.06168	129189.7716	137744.5751	222784.1031	208712.5861	184072.9692	130018.1865	166448.0365	155787.542	85053.3261	218830.8701	100407.1689	96688.35865	104698.6244	137781.6392	242775.7068	76805.06154	95513.10518	78488.48964	171674.8549	77087.49143	91292.85819	199697.2458	82561.74905	92742.98777	241588.3929	112872.4243	119450.6927	129344.0831	93972.85664	135193.9347	135849.5942	154350.9761	181518.1859	111324.7175	105011.561	110401.5778	96457.12869	130323.9543	121623.7827	76496.7992	189594.6018	186316.756	201411.7712	105469.8481	108474.2823	90036.9303	150412.8122	84987.22452	139133.8127	69037.06769	100086.3768	80280.54774	115933.9819	260654.6928	154681.9689	141661.6104	121400.0305	112247.3526	106068.555	99824.05315	104721.8138	82422.86039	108458.8979
PC 36:6; [M+Hac-H]-@5.49	PC 36:6; [M+Hac-H]-@5.49	836.5417	836.5467	5.49	11.97259648	26469.67241	33624.40617	35792.34279	19457.45832	31903.89817	29511.21247	20993.76776	35097.94988	28692.84994	30326.44662	47178.01159	22973.32083	48633.29272	22946.0106	58589.8574	52821.38669	17687.45217	44902.14215	58932.693	30688.0814	58979.82165	85857.78481	79764.5538	60749.52895	17175.37123	83374.0432	36942.56984	20886.23733	103430.7988	46067.22308	46717.49245	46677.87573	25452.19135	36486.74824	32378.417	9103.691176	26659.34412	35198.27104	31023.95199	18855.4019	40730.06764	19420.47282	45840.32522	25629.64426	41295.7202	59819.5243	34718.07599	28003.20612	55314.67019	27216.6194	57756.55483	20464.68679	42417.60506	94384.84433	23745.46671	32097.16026	60226.26698	68090.3853	73192.7678	20529.07028	35910.7342	19395.45547	25553.31166	19600.706	52694.27549	28227.08559	21711.50911	31997.83351	28990.03478	49053.94777	34483.73212	32668.93155	36086.22513	31176.35792	23840.30183	32644.66997	35104.01033	29502.41871	31077.76888
PC 36:6e; [M+Hac-H]-@6.17	PC 36:6e; [M+Hac-H]-@6.17	822.5624	822.5674	6.17	21.96544933	10779.54585	17822.15827	11444.43234	15371.2445	11792.02196	11601.35412	10886.61206	17801.28996	22522.00379	11086.6476	24682.9765	9735.699218	21467.96149	13138.36267	25028.93334	20368.35195	21189.66188	19888.76942	24693.53371	10318.49501	10380.79311	15070.08019	24043.18506	22360.86344	13113.01863	33969.18233	13021.08652	8410.51531	17609.85516	84417.05816	15510.30627	8403.449072	14164.68301	13654.14422	18091.01343	3452.054104	19808.16761	18860.62222	99219.9245	15658.17324	22656.56057	19143.96838	17417.13067	17816.84491	55977.46347	27267.50292	64051.48898	19151.69773	36557.15133	40955.86172	13764.90802	8370.827015	27506.93303	29185.88385	17133.13147	30813.29906	31373.00115	24506.58889	25517.65985	19405.73012	17553.15083	N/A	42988.98986	14666.1506	17707.01747	9245.33648	11941.57097	21136.86649	14494.10787	35662.19933	30038.18517	16208.76441	27327.80715	21128.85724	17416.85424	20448.14666	19343.92589	12955.07226	18161.73738
PC 37:2; [M+Hac-H]-@7.18	PC 37:2; [M+Hac-H]-@7.18	858.6199	858.6249	7.18	26.80109136	25428.51665	22158.37994	27023.72623	22864.33282	16951.24924	26854.10285	32617.11404	39279.7546	17320.40572	35096.97774	34979.46023	44127.25227	60094.50211	28441.97636	72043.04507	29619.40172	24454.93252	54591.58377	45452.91197	27649.90988	52298.28645	27484.80248	53508.18999	36110.86848	32161.23961	37903.81636	44523.39694	28585.82752	58755.23313	43431.57714	44886.19171	25972.75922	22360.74266	25116.94567	44895.79561	25490.66402	38755.44745	30607.09781	64768.40525	22629.95639	35712.65909	62731.75531	40251.1835	35485.27272	48422.47478	52611.63512	46604.48867	32747.73365	59399.7078	42923.39816	31140.97569	19306.08702	45959.92233	38653.67798	39883.97693	31511.93173	46374.0263	28567.48036	59637.96505	33159.2026	38574.71962	23433.15547	24584.34393	31617.97999	35274.84941	19042.9527	32644.04794	40573.50189	32198.39048	26677.31393	60970.80178	34467.43047	45732.88082	22367.34231	26627.9681	22666.41699	26560.24864	25800.03106	26959.79159
PC 37:3; [M+Hac-H]-@6.74	PC 37:3; [M+Hac-H]-@6.74	856.6043	856.6093	6.74	25.35666498	31666.82014	21518.89192	29827.52221	27759.3467	33241.9059	37258.12628	23969.04583	59881.17187	32602.82648	34830.06498	50436.59121	46026.90642	52104.11329	37588.5094	71742.64077	56325.33103	46737.75131	37608.92985	53020.37232	57928.45632	54919.46859	13589.49794	49514.84301	52377.40981	20941.38776	59519.89487	57638.56912	37146.65583	48035.67544	35598.36893	73436.24084	32641.591	43915.68369	56777.05349	57359.23729	26948.68363	27222.7754	43351.21817	38873.58642	28724.94011	43863.71374	40938.33575	18088.86601	52205.10847	54522.27727	22772.58577	54842.01922	60078.22952	41688.89271	54862.49441	49912.08425	32533.46162	42876.62885	40356.41858	24592.67771	53464.64338	32015.17256	45672.93191	71884.71333	45024.44198	25706.10707	24190.72066	62250.28684	48865.43401	37983.43294	15325.34936	25644.34551	65817.51149	47319.57002	34875.31686	53771.78511	41319.64505	46646.86808	26154.7592	19456.70946	31303.45622	39827.32502	35152.44328	38659.3857
PC 37:4; [M+Hac-H]-@6.54	PC 37:4; [M+Hac-H]-@6.54	854.5886	854.5936	6.54	15.99969181	59336.72285	49722.69439	39879.73334	46970.10961	45171.55942	42015.95605	51995.36412	67817.35287	47233.6153	68393.7331	57931.15115	78153.61405	75666.6552	35481.02449	92673.08755	58965.30956	64247.25365	66397.28968	59538.61649	72703.62348	103482.4824	35809.15834	51684.63082	105319.0562	31896.32633	54249.99722	53638.36051	36306.18366	36777.59782	42837.19071	125864.7845	25446.48291	35735.51	47874.98835	60522.07433	22008.14061	44439.13245	75180.58935	53303.33562	53416.45323	38323.66255	44990.09069	40715.27899	75282.38985	57618.42763	41539.76429	60641.09132	59874.77413	56504.63647	55623.57046	71810.55791	47513.86999	55918.26436	65948.76221	73188.34121	45234.08336	65382.20252	44968.40467	105902.0442	78994.26423	54172.77646	49272.85291	67536.49815	40253.44538	56728.66158	33364.2792	53012.75655	44137.01356	61659.43982	69473.77003	48924.54814	54486.75138	55770.56332	55787.42148	51553.31196	46728.55533	33812.34778	55048.21248	60807.05457
PC 37:5; [M+Hac-H]-@6.04	PC 37:5; [M+Hac-H]-@6.04	852.573	852.578	6.04	28.1525196	27216.72549	22888.54565	26065.97	23759.81202	26860.00699	19911.90553	17242.13849	22267.919	18378.51958	22485.01115	35294.4174	20898.67625	23729.76235	15177.19422	43700.90204	28584.07794	20445.11303	24077.10303	20664.60213	28679.96992	37400.14858	14434.40753	25150.28926	30642.57945	14578.05226	34124.8696	13807.77918	14661.27823	20432.10226	29311.67857	34142.90649	13232.49384	20752.44147	12062.83298	33350.00277	15588.03414	12821.26477	26553.99646	44791.88466	17183.95474	25487.84539	22567.65978	16606.37989	26024.39173	28827.62066	14126.54497	39426.57809	17980.9777	27843.9091	55378.04738	25262.35598	15560.76014	32178.39736	44288.59629	26867.84751	34302.47181	44286.25656	23692.30584	33521.74067	28421.58648	16112.49777	10525.25639	29884.65646	17821.25076	17629.15819	20840.91452	28656.16889	24738.57083	20570.53087	24023.89829	20605.08817	18732.30622	24657.37624	23703.31613	16747.55451	32532.12481	36617.19571	19960.57044	22335.72293
PC 37:6; [M+Hac-H]-@5.84	PC 37:6; [M+Hac-H]-@5.84	850.5573	850.5623	5.84	23.39024472	23424.78542	23439.07008	31081.32057	19943.08972	19673.55143	21822.29785	13648.07608	39232.58522	25979.40298	27455.95197	57281.71454	33367.73646	27202.70172	26245.27527	39400.16589	41896.17648	60680.86458	41814.40045	33459.89602	37435.263	28150.6942	36781.05874	32073.2885	52304.8936	25921.12166	53069.52899	23921.34008	26512.95343	47611.27535	47594.24655	49780.37048	23813.75857	35070.83523	33810.25052	31842.96777	18324.9078	28169.48228	26723.70074	78917.25476	21844.62236	24442.35785	30397.04596	31547.4097	37082.35411	47916.92654	33665.70581	52952.19236	23155.27084	32468.67841	64954.68887	24747.50262	37181.46304	32263.94173	43927.65706	23348.48903	59871.26515	35258.74828	42269.58847	34401.70115	50425.67626	31932.37831	18157.82613	56398.29958	19296.79726	30068.46562	17973.30096	38576.19027	27947.59645	33653.38388	54495.96727	27602.86958	46967.17286	32516.348	28508.55331	23523.49125	39037.85044	29843.75303	34121.75497	25656.9071
PC 38:2; [M+Hac-H]-@7.43	PC 38:2; [M+Hac-H]-@7.43	872.6356	872.6406	7.43	10.68453119	224905.1777	225714.1625	213563.3847	196867.3728	217909.3225	191221.1457	152734.2702	178199.1186	191722.5924	179510.4535	373134.9942	242750.265	401695.6491	305851.3785	503737.5359	353197.4005	287839.446	316569.4446	212578.6941	182297.1553	245279.4572	117303.9386	328894.9342	185867.3451	196872.89	388232.1624	211926.3611	174523.0255	503939.5524	351901.9256	237586.1637	202713.4089	220547.4414	146970.9162	301349.8151	132854.1244	194105.1223	180888.7187	218952.1419	92919.67194	358612.0523	282890.9469	392026.5487	137764.7793	230089.4296	460952.4286	193321.842	383592.2605	452786.0721	309448.3886	267691.6432	296751.2722	387851.6591	267996.8334	211562.1704	387632.3473	382928.9181	450670.4474	472667.2303	382163.177	287412.3612	235421.1768	403982.0723	227598.7788	361565.6539	190873.4541	301175.7601	269630.0153	280437.4053	357176.7968	410638.0048	263610.3945	235485.7722	323601.3146	241956.529	276142.5746	243148.6853	276796.3736	278453.2206
