	compound_name	Ion	RT	mean.RSD%	20190913_S00041674	20190913_S00041675	20190913_S00041676	20190913_S00041677	20190913_S00041678	20190913_S00041679	20190913_S00041680	20190913_S00041681	20190913_S00041682	20190913_S00041683	20190913_S00041684	20190913_S00041685	20190913_S00041686	20190913_S00041687	20190913_S00041688	20190913_S00041689	20190913_S00041690	20190913_S00041691	20190913_S00041692	20190913_S00041693	20190913_S00041694	20190913_S00041695	20190913_S00041696	20190913_S00041697	20190913_S00041698	20190913_S00041699	20190913_S00041700	20190913_S00041701	20190913_S00041702	20190913_S00041703	20190913_S00041704	20190913_S00041705	20190913_S00041706	20190913_S00041707	20190913_S00041708	20190913_S00041709	20190913_S00041710	20190913_S00041711	20190913_S00041712	20190913_S00041713	20190913_S00041714	20190913_S00041715	20190913_S00041716	20190913_S00041717	20190913_S00041718	20190913_S00041719	20190913_S00041720	20190913_S00041721	20190913_S00041722	20190913_S00041723	20190913_S00041724	20190913_S00041725	20190913_S00041726	20190913_S00041727	20190913_S00041728	20190913_S00041729	20190913_S00041730	20190913_S00041731	20190913_S00041732	20190913_S00041733	20190913_S00041734	20190913_S00041735	20190913_S00041736	20190913_S00041737	20190913_CS00000001-1	20190913_CS00000001-2	20190913_CS00000001-3	20190913_CS00000001-5	20190913_CS00000001-6	20190913_CS00000001-7	20190913_CS00000001-8	20190913_CS00000001-4	20190913_CS00000004-1	20190913_CS00000004-2	20190913_CS00000004-3	20190913_CS00000004-4	20190913_CS00000004-5	20190913_CS00000004-6	20190913_CS00000004-7
644	FFA(22:1)	[M-H]-	4.43	7.078186831	191133.139	333937.9358	87598.75528	230367.6173	73510.41151	149173.1206	308643.2959	493020.0566	203181.1633	296052.9165	238302.6319	122648.0238	145583.7633	135295.0081	92436.55176	221270.4956	100858.4308	104139.6692	274918.6623	104556.6398	244203.1821	209177.151	141811.373	269972.7153	102481.3309	131419.1408	121353.3859	155027.7435	43599.10605	140224.778	83235.01251	102963.3956	177662.9252	180801.1574	215773.4658	628255.0657	109651.7017	276588.2676	1340297.31	104060.1422	217523.8903	486760.0092	169625.2822	282751.7495	118269.2683	428573.8511	363164.6524	83070.5918	221456.4817	243534.4942	387714.0701	380524.1916	227782.6828	123916.8323	165094.0959	226004.157	135971.2393	349906.1474	80043.44055	257050.5544	143775.3503	102828.8049	241000.8891	247332.5553	286270.3447	264628.4498	292256.2755	288196.5663	296091.9276	329881.1961	315342.8642	318990.5822	143804.0001	102635.4596	53190.21025	95874.14919	93236.21476	121123.4623	100850.7823
645	FFA(22:2)	[M-H]-	3.76	12.19996377	70490.94502	130435.5448	26298.18635	119952.7782	15111.89739	53681.18182	128174.0053	190879.0329	76843.11018	171364.4517	112522.6866	56849.95788	61543.96172	54737.58947	35201.60144	102219.6059	24521.82215	46182.36229	127380.9428	47698.62711	98664.15567	112829.6838	60102.22312	122639.4385	32474.27152	56646.86126	47076.58394	54367.16766	13622.25352	60821.43924	32284.33719	28371.70385	52694.95694	92830.00031	87154.35298	159813.1742	47732.71671	112043.0977	212975.6418	37944.04195	94122.57581	91465.86349	67018.07615	106368.3656	49294.23267	188095.1217	109441.1776	26649.51783	104278.9322	98101.69747	173004.4762	149877.3641	115374.371	63501.44171	54777.30592	105811.1161	65178.25121	145924.4601	28762.25106	110481.4096	73699.02424	42574.24204	116040.0652	105406.9002	78968.78267	104473.7297	117481.9098	108224.1554	117292.6394	107333.5123	121360.7798	111709.1213	37180.25302	30795.58338	32384.80064	21681.31991	30688.94061	37123.89174	25312.69889
646	FFA(24:1)	[M-H]-	5.36	8.711613953	308392.2273	341261.621	164909.0431	296586.4401	163786.2926	210792.0687	437816.1016	497561.679	290136.2122	343023.2493	332116.1172	254339.6766	267020.3073	204182.6249	167562.6736	384730.0236	149695.5592	168012.4835	287068.9945	220149.6263	341782.1137	375743.9537	180883.2138	276918.3541	151237.5118	217008.3234	140750.2184	229112.6605	96570.39138	203750.9852	207629.0553	133157.4496	231578.3535	284150.5968	308011.7262	592415.8644	219607.3094	303847.9828	685743.77	210029.665	305944.8622	455320.7602	307056.4085	436432.9076	214432.9372	600664.1471	610031.1484	198212.9685	264269.4617	421920.2951	318589.7993	537385.6346	294381.7609	233246.2426	250011.6877	318726.6943	177709.2637	441411.6524	155872.0902	420275.5297	228956.3697	176694.2753	396024.0308	331640.5591	308391.7797	327409.9727	330886.2734	341903.7052	345333.588	409938.5647	360007.284	338963.0504	212952.9271	157258.8441	144081.0436	130062.501	158585.2743	152510.5762	170501.6644
647	FFA(24:2)	[M-H]-	4.7	8.418320174	120241.146	145603.8977	61609.5214	125470.0237	40359.18617	89365.84166	197461.8383	271922.1544	110448.9349	189441.5698	164344.7009	115350.8079	110336.4841	119081.587	73209.16828	145884.976	62060.52296	64131.65997	146426.4327	70865.02465	155419.3593	155278.274	57361.2358	147637.8921	72157.76641	99102.44747	80384.72596	98608.16393	32414.90598	106250.7994	85447.0141	55501.27547	101390.4364	135112.4002	142417.8824	224569.0922	95538.85722	159742.6647	206987.4758	66156.61771	142735.7839	161216.4258	93334.37257	157281.0128	63655.67609	258664.0956	186314.698	87675.29773	118329.3947	190868.8404	202872.7727	219908.5361	134436.8467	85982.19542	84465.84214	153909.8	66117.17155	213563.0107	55681.6764	158422.9494	85811.88858	54819.95238	168076.6766	154146.1629	126302.2356	137823.8086	142285.3659	145070.1406	137910.7485	166053.8204	156379.2692	142670.4045	52414.78691	36432.60822	36256.68006	38588.29201	38537.81445	45029.83209	41191.91236
648	FFA(24:3)	[M-H]-	4.07	19.65835671	23527.66095	36158.7312	12776.40128	19990.45458	8051.713726	12973.11003	37771.10112	55109.74555	23161.53015	27080.01677	29718.68927	17355.75644	24791.27207	14610.98556	13578.02675	27005.3891	9575.758057	10103.59144	30554.1345	15198.43978	17332.74775	29208.38699	22420.37034	24948.65797	13571.35458	13063.06324	11840.23447	15378.05843	8294.89888	14484.41329	16470.22357	14685.45249	14440.41109	30083.61037	22386.83492	34266.11359	18306.3432	18064.63612	69279.95739	8578.409662	28257.36632	27147.95757	15780.38285	31045.7774	12358.57784	43996.28861	37034.33786	16132.01254	17057.40535	34862.62769	42589.18792	36640.42191	19096.60795	13170.3757	10355.9606	23852.2164	11120.10177	57697.76259	8623.408828	31561.93847	14873.41975	12216.78669	28890.46052	34819.05728	23895.03731	20302.84133	21966.12365	27964.3776	22570.2223	33924.54061	32397.00118	23228.28096	9337.551621	9183.075178	8253.244039	7039.957067	7903.753985	7356.660737	12680.12404
649	Cer-AS d41:1	 [M-H]-	8.48	20.64493393	16215.88417	10822.56401	13177.36038	8424.841116	7271.803765	11815.9488	22120.0096	45782.97881	7600.779152	13542.60792	38396.58163	15822.77913	33440.87507	13717.17968	11070.12268	31342.0046	18645.67825	6697.699106	21231.50306	13975.65929	9469.703871	21925.68081	22383.04318	28280.77537	11362.94482	17236.71688	16900.29764	10190.4036	6292.13695	14528.7293	22177.56186	9857.510596	10240.48399	22294.86979	15548.1237	31367.95374	18535.61555	12643.58714	49149.68925	5808.88575	25874.7015	24044.74445	8800.054164	49569.29765	24634.91212	26192.02507	29685.71049	14029.06899	11001.22443	23523.64597	27536.52923	34634.71529	10337.61404	9197.946114	10812.05727	24486.56044	10864.63094	44698.1549	6305.069221	19656.3522	10685.19015	8072.787683	15842.27482	44895.77797	20821.46862	15839.94584	21912.31953	20229.77718	16767.44509	25851.61927	28870.62101	19295.61024	19064.37357	11797.38575	12079.25428	11534.42965	13275.54928	9710.291839	9582.6544
650	Cer-NS d34:2	 [M+Hac-H]-	6.44	18.58435279	26089.11944	18564.28289	11791.14882	8192.887906	8101.399592	15316.46295	26032.76533	37205.23763	28788.50249	20974.53677	16258.81314	24538.90229	25753.36809	9988.081069	13147.09564	26925.67698	16187.63103	13000.284	17417.05106	8906.193531	21898.89865	20704.05739	18378.3366	26408.36537	10122.37738	8190.761146	13170.53636	10088.85999	8722.99935	13680.9499	8647.482762	9088.01965	24140.23337	15366.95986	25465.01423	28084.12677	28022.71824	29575.8999	14033.89527	17535.7722	27893.79979	24096.14167	20171.72619	10107.36771	28770.66959	28031.23326	20788.37299	19175.02307	24489.42707	25992.53455	33664.93179	47669.59935	27685.51711	8602.172818	6971.508647	16941.82449	10123.46001	31830.7044	10727.72772	28242.28714	7335.194194	19719.83233	27765.67877	12709.18964	21538.738	19474.87664	29920.58084	30497.64452	26900.85296	32412.8795	27448.37813	21137.89024	20710.00916	15547.11565	17837.12485	19297.29138	23117.58361	18262.65179	12818.38819
651	OxPC 34:2+2O	 [M+Hac-H]-	3.59	10.75945978	18632.59134	19823.95689	24472.61947	42544.6539	14201.9476	78511.99948	83152.64914	64656.55043	44112.43761	180098.6579	48838.63509	12831.03138	32373.73292	30680.82552	21786.87705	31231.98041	25165.35093	14743.96112	48523.00794	20824.11976	90197.68352	34386.08785	765678.5242	42910.61938	15777.46161	51586.78122	24347.18954	43385.50625	14139.88197	23089.88723	33376.92259	927691.3506	141868.3925	65303.44831	333652.0327	102406.2473	234656.359	1491078.879	105457.8579	984411.8497	83225.31202	139746.1848	1552172.821	35761.10503	35997.05394	64468.54835	31781.50788	37913.36496	674008.8446	81543.73134	104546.2581	139833.806	79131.75875	28050.84954	15607.0437	152673.9833	16954.77474	45077.46914	19782.82139	53470.15651	32330.17551	33794.10006	45091.92363	130882.8841	102451.1537	94778.4882	116346.2886	106134.2963	104380.954	126871.3688	120308.1276	127292.9574	22077.01935	18219.69292	15383.2095	20765.98821	14209.25965	19018.16826	15828.01703
652	Unknown OxPC 34:2+2O; [M+Hac-H]-@4.47	 [M+Hac-H]-	4.47	77.73968293	1602.737192	743.1894162	604.7726826	1614.49581	4487.238048	7729.944902	28217.83173	9264.69504	17922.94393	15489.19809	5426.350771	4796.068519	6293.193355	7228.149795	4996.613337	4999.277737	2517.141966	692.1195248	15417.13547	2083.446254	6669.833864	13488.86726	19561.11775	9405.387611	3659.325555	53050.68819	7293.446395	11345.82381	66.13310363	375.5721013	2309.546435	8063.708473	6767.078582	3638.668315	16191.52489	23748.96683	509438.6577	33483.87176	126720.5953	11046.80832	4546.342552	8136.343307	17349.25875	10194.31767	1687.496487	4351.476491	9432.368043	3268.471857	14312.34755	1702.472996	8740.574362	4055.179171	36315.67142	2266.349059	8077.104225	122718.5254	6433.586399	5336.998996	22402.52965	15512.20264	2506.047715	2103.325193	1852.855697	2823.230089	30905.59604	9129.141446	14665.75063	10889.7609	5830.520337	9489.19195	4681.309296	4009.054892	1318.943773	1107.404349	329.3698818	30720.97209	1095.386297	744.4205595	940.988645
653	OxPE 38:5+1O(1Cyc)	 [M-H]-	4.66	15.87185727	8578.772769	3985.118359	21198.86571	13118.30789	10282.5545	18543.59563	6541.751806	42082.87886	32736.90728	757556.5685	23233.95988	6675.474021	31999.48403	25633.08472	31883.85086	11362.44226	50819.15614	5181.415957	310866.5622	5176.477064	202359.8279	106293.9894	251611.2647	10713.20616	9966.895669	16732.4647	38813.21638	217682.7851	3148.524583	17733.36452	32349.58414	73966.39134	127007.3087	245936.1035	442483.5647	686406.5188	302770.181	266828.1449	457468.0933	200529.4411	96887.12856	485231.9747	223299.3617	76078.07531	2583.525913	25260.97064	30605.13736	53162.54421	183497.6137	240621.3918	35215.36128	59431.07422	162208.6988	3432.755223	4731.272748	218246.1006	3418.738324	187554.277	2553.065023	15721.77237	10501.52409	25060.39721	23490.14075	54911.16659	103074.0601	117577.4776	113462.3979	122668.6021	87540.50429	126989.4179	82330.05269	93381.53201	8747.238498	2514.22595	2606.528465	4297.604005	11497.30193	2291.640604	12856.09615
